หมู่บ้าน,ตำบล,อำเภอ,จังหวัด,Latitude,Longitude,sea level (m),ความสูงเสา (ม.),ตำแหน่ง
หมู่ 3 คลองใบพัด,วังหมี,วังน้ำเขียว,นครราชสีมา,14.476610,101.686973,418,9,ผู้ใหญ่บ้าน
หมู่ 4 ยุบอีปูน,วังหมี,วังน้ำเขียว,นครราชสีมา,14.450809,101.744513,425,9,ผู้ใหญ่บ้าน
หมู่ 5 คลองสะท้อน,วังหมี,วังน้ำเขียว,นครราชสีมา,14.409393,101.685069,436,9,ผู้ใหญ่บ้าน
หมู่ 6 โนนสาวเอ้,วังหมี,วังน้ำเขียว,นครราชสีมา,14.492754,101.775826,295,9,ผู้ใหญ่บ้าน
หมู่ 9 บางปรง,เสือหึง,เชียรใหญ่,นครศรีธรรมราช,8.193024,100.250653,10,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 1 ขนาบนาก,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.210403,100.232902,4,9,ผู้ใหญ่บ้าน
หมู่ 2 ป่าขลู,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.209216,100.237001,4,9,กำนัน
หมู่ 3 บางวุ่น,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.220960,100.241470,5,9,ผู้ใหญ่บ้าน
หมู่ 5 ปากช่อง,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.208360,100.251410,5,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 4 ท่านา,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.222903,100.245957,6,9,ผู้ใหญ่บ้าน
หมู่ 7 สระศรีเมือง,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.223698,100.260198,8,9,ผู้ใหญ่บ้าน
หมู่ 10 หัวดอน,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.235181,100.279400,9,9,ผู้ใหญ่บ้าน
หมู่ 6 บางมะขาม,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.206482,100.263253,6,9,ผู้ใหญ่บ้าน
หมู่ 8 บางตะลุมพอ,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.194579,100.257889,7,9,ผู้ใหญ่บ้าน
หมู่ 9 น้ำทรัพย์,ขนาบนาก,ปากพนัง,นครศรีธรรมราช,8.185152,100.28777,8,9,ผู้ใหญ่บ้าน
หมู่ 7 เกาะทัง,ท่าพญา,ปากพนัง,นครศรีธรรมราช,8.259448,100.263515,8,9,ผู้ช่วยผู้ใหญ่บ้าน
หมู่ 10 ริมเขื่อน,ท่าพญา,ปากพนัง,นครศรีธรรมราช,8.240806,100.268612,8,9,ผู้ใหญ่บ้าน
